Title,Author,Date_Published,URL,CC_License,Audience,Material_Type,Media_Format,Topic,Notes,Keywords_Metadata
Chemical principles. Third edition.,"Dickerson, Richard E.; Gray, Harry B.; Haight, Gilbert P.",1979,https://authors.library.caltech.edu/25050/,CC BY-NC,Student,Book,PDF,Chemistry,,Chemistry
Clinical Anatomy,"Krebs, C., Fejtek, M., Mordhorst, A.",NA,http://www.clinicalanatomy.ca/,CC BY-NC-SA 4.0,Student,"Video, Interactive Module, Virtual Lab",html,Anatomy and Physiology,,"Anatomy, Pelvis, Labs, Embryology, Lower Limb, Upper Limb, Abdomen, Radiological Atlas, Thorax, Back and Core, Head and Neck"
Disease Prevention and Healthy Lifestyles,"DiGregorio, T",NA,https://courses.lumenlearning.com/suny-monroecc-hed110/,CC BY ,Student,Book,html,Public Health,,"Public Health, Wellness, Physical Activity, Stress Management, Weight Management, Infectious Diseases, Relationships, Sexuality, Cardiovascular Disease, Cancer, Violence, Drug Use, Addiction, Alcohol use, Tobacco use, Nutrition, Mental Health, Emotional Health, Complementary Health, Integrative Health, Consumer Health"
General Nutrition,LibreTexts,NA,https://med.libretexts.org/Courses/American_River_College/General_Nutrition_Textbook_(not_Plant-Based)-_reference_for_NUTRI_303_(Hagenburger),CC BY-NC-SA 3.0 US,Student,Book,PDF,Nutrition,,Nutrition
Health Case Studies,"Rees, Glynda; Kruger, Rob; Morrison, Janet",2017,https://pressbooks.bccampus.ca/healthcasestudies/,CC BY-SA,Student,Book,PDF,Healthcare,,"Case Studies, Health, COPD, Pneumonia, Unstable Angina, Heart Failure, Motor Vehicle Collision, Sepsis, Colon Cancer, Deep Vein Thrombosis"
Human Anatomy and Physiology Preparatory Course,"Liachovitzky, Carlos",2015,https://open.umn.edu/opentextbooks/textbooks/445#?,CC BY-NC-SA,Student,Book,PDF,Anatomy and Physiology,,"Anatomy, Physiology, Levels of Organization, Chemical Building Blocks, Biomolecules, Cells, Organs, Organ Systems"
A Laboratory Guide to Clinical Hematology,"Villatoro, Valentin",2019,https://open.umn.edu/opentextbooks/textbooks/a-laboratory-guide-to-clinical-hematology,CC BY-NC,Student,Book,"PDF, ebook",Hematology,,"Hematology, Red Blood Cells, White Blood Cells"
College Physics,"Urone, Paul P.; Hinrichs, Roger; Dirks, Kim; Sharma, Manjula",2012,https://openstax.org/details/college-physics,CC BY,Student,Book,PDF,Physics,,"Physics, Kinematics, Laws of Motion, Work, Energy, Fluid Statics, Fluid Dynamics, Gas Laws, Thermodynamics, Waves, Hearing, Electricity, Circuits, Magnetism, Optics, Relativity, Quantum, Atomic, Radioactivity, Medical Application, Nuclear"
Organic Chemistry with a Biological Emphasis,"Soderberg, Tim",NA,https://chem.libretexts.org/Under_Construction/Purgatory/Book%3A_Organic_Chemistry_with_a_Biological_Emphasis_(Soderberg),CC BY-NC-SA 3.0 US,Student,Book,PDF,Chemistry,,"Organic Chemistry, Chemistry"
Health Videos: Medline Plus,U.S. National Library of Medicine,2020,https://medlineplus.gov/anatomyvideos.html,Public Domain,"Student, Patient",Video ,mp4,Anatomy and Physiology,,"Anatomy, Physiology, Organ Systems, Diseases, Conditions"
